sample_index,timestamp_ms,ppg,ecg,pcg
0,7,22557,28271,208
1,7,22557,28271,208
2,7,22557,28271,208
3,7,22557,28271,208
4,7,22557,28271,208
5,7,22557,28271,208
6,7,22557,28271,208
7,7,22557,28271,208
8,7,22557,28271,208
9,7,22557,28271,208
10,7,22557,28271,208
11,7,22557,28271,208
12,7,22557,28271,208
13,7,22557,28271,208
14,7,22557,28271,208
15,7,22557,28271,208
16,7,22557,28271,208
17,7,22557,28271,208
18,7,22557,28271,208
19,7,22557,28271,208
20,7,22557,28271,208
21,7,22557,28271,208
22,7,22557,28271,208
23,7,22557,28271,208
24,7,22557,28271,208
25,7,22557,28271,208
26,7,22557,28271,208
27,7,22557,28271,208
28,7,22557,28271,208
29,7,22557,28271,208
30,7,22557,28271,208
31,7,22557,28271,208
32,7,22557,28271,208
33,7,22557,28271,208
34,7,22557,28271,208
35,7,22557,28271,208
36,7,22557,28271,208
37,7,22557,28271,208
38,7,22557,28271,208
39,7,22557,28271,208
40,7,22557,28271,208
41,7,22557,28271,208
42,7,22557,28271,208
43,7,22557,28271,208
44,7,22557,28271,208
45,7,22557,28271,208
46,7,22557,28271,208
47,7,22557,28271,208
48,7,22557,28271,208
49,7,22557,28271,208
50,7,22557,28271,208
51,7,22557,28271,208
52,7,22557,28271,208
53,7,22557,28271,208
54,7,22557,28271,208
55,7,22557,28271,208
56,7,22557,28271,208
57,7,22557,28271,208
58,7,22557,28271,208
59,7,22557,28271,208
60,7,22557,28271,208
61,7,22557,28271,208
62,7,22557,28271,208
63,7,22557,28271,208
64,7,22557,28271,208
65,7,22557,28271,208
66,7,22557,28271,208
67,7,22557,28271,208
68,7,22557,28271,208
69,0,0,0,0
70,0,0,0,0
71,0,0,0,896
72,0,22574,28340,1013
73,0,22546,28278,1045
74,0,22572,28337,1043
75,0,22573,28337,1015
76,0,22573,28334,1045
77,0,22575,28338,1280
78,0,22578,28332,1372
79,0,22573,28332,1398
80,0,22579,28330,1360
81,0,22578,28330,1328
82,-15537,22578,28328,1260
83,-15537,22577,28327,1136
84,-15537,22580,28326,1041
85,-15537,22579,28325,971
86,-15537,22582,28327,896
87,-15537,22584,28326,819
88,1336,22585,28324,751
89,1336,22581,28325,705
90,1336,22583,28322,686
91,1336,22581,28325,642
92,1336,22579,28324,628
93,1336,22580,28321,694
94,1336,22578,28329,749
95,1336,22575,28322,743
96,1336,22573,28321,752
97,1336,22571,28319,771
98,1336,22572,28312,803
99,1336,22566,28311,874
100,1336,22570,28310,887
101,-6869,22564,28308,930
102,-6869,22561,28302,990
103,-6869,22559,28297,899
104,-6869,22552,28292,848
105,-6869,22547,28285,785
106,-6869,22547,28277,787
107,-6869,22542,28273,853
108,25520,22537,28266,1373
109,25520,22535,28260,2514
110,25520,22534,28252,1945
111,25520,22525,28250,1210
112,25520,22523,28247,951
113,25520,22520,28242,1017
114,25520,22517,28238,1083
115,25520,22511,28236,1111
116,25520,22507,28229,1183
117,25520,22508,28224,1275
118,25520,22507,28222,1351
119,25520,22503,28218,1369
120,23054,22502,28217,1397
121,23054,22499,28218,1072
122,23054,22500,28215,561
123,23054,22498,28214,147
124,23054,22494,28210,0
125,23054,22491,28205,0
126,23054,22489,28203,0
127,9966,22486,28197,0
128,9966,22479,28190,0
129,9966,22471,28189,0
130,9966,22469,28186,0
131,9966,22467,28181,0
132,9966,22465,28179,0
